session,participant,gender,age,country,school
ae5sejdy,r06omm8h,,,,
7xyft6s3,b0370bjl,1,24,Malaysia,
7xyft6s3,sjgtn9qk,1,21,"Taiwan, Egypt",CMP
7xyft6s3,fxky1ye6,2,32,England,IIH
7xyft6s3,hokl19im,2,29,UK,BIO
7xyft6s3,aqcsvorl,1,20,UK,ECO
7xyft6s3,zi6i2c9u,1,21,Vietnam,MED
7xyft6s3,x56fzcq4,,,,
7xyft6s3,yttxa9vp,,,,
7xyft6s3,5cjntfn7,,,,
7xyft6s3,t9np93xt,,,,
7xyft6s3,dkpp6i7q,,,,
7xyft6s3,dz8nsivk,,,,
42rnw7sc,n594ys0i,2,22,Latvia,NBS
42rnw7sc,hby5m5ik,1,22,United Kingdom,CMP
42rnw7sc,45o6pk7j,2,29,France,DEV
42rnw7sc,wu86use2,2,19,Philippines,NBS Business School
42rnw7sc,mv01y1yd,,,,
42rnw7sc,rkhj04v1,,,,
42rnw7sc,qv9kuf6n,,,,
42rnw7sc,9rbbmqkp,,,,
42rnw7sc,vthus49a,,,,
42rnw7sc,g5af90n4,,,,
42rnw7sc,65s3ounx,,,,
42rnw7sc,jid125ay,,,,
rmae59mj,gg29ns20,2,20,Spain,NBS
rmae59mj,2mlym5h3,2,20,United States,PPL
rmae59mj,a0g4ni40,1,21,United Kingdom,LAW
rmae59mj,tpa9df6u,2,21,Hong Kong,NBS
rmae59mj,d8swqk2s,,,,
rmae59mj,q62vsy8k,,,,
rmae59mj,gtm3ieyo,,,,
rmae59mj,18r8oum7,,,,
rmae59mj,7lqv6w3w,,,,
rmae59mj,3ybn1mc7,,,,
rmae59mj,dg7yyxxh,,,,
rmae59mj,9xy95izj,,,,
z4srslpi,uel5pire,1,20,Portugal,ECO
z4srslpi,aiy9pkbx,1,20,United Kingdom,
z4srslpi,td1cwjdp,1,25,South Africa,HSC
z4srslpi,xt7meys4,2,23,Norway,NBS
z4srslpi,d3v22y45,2,22,Lithuania,HIS
z4srslpi,0uviu3c8,2,22,England,DEV
z4srslpi,2nb9zfb7,2,21,UK,ECO
z4srslpi,q0ffsac5,2,25,Latvia,
z4srslpi,9a30ip35,1,21,Hong Kong,HSC
z4srslpi,6vlteoij,2,24,Hong Kong,
z4srslpi,lfrzjoj3,2,21,England,PHY
z4srslpi,21otsptc,2,26,Nepal,DEV
r7c0b51g,w884g810,2,23,China,
r7c0b51g,zmaoyq1i,2,21,,NBS
r7c0b51g,8t5zwjgh,2,20,england,HSC
r7c0b51g,ocezwog3,1,22,United Kingdom,ECO
r7c0b51g,gad5ovep,2,21,Lithuania,BIO
r7c0b51g,kbtjqe2e,2,21,Malaysia,HSC
r7c0b51g,gq9fzq9w,1,21,Denmark/USA,ENV
r7c0b51g,ot30actm,1,19,England,NBS
r7c0b51g,6kwe5o6c,2,51,United Kingdom,HIS
r7c0b51g,atma1qcx,1,51,United Kingdom,NBS
r7c0b51g,xo4tfntx,,,,
r7c0b51g,8zszobfp,,,,
2c3ue4nl,9bcof7wo,1,25,United Kingdom,ENV
2c3ue4nl,o11c7at5,2,20,United Kingdom,LDC
2c3ue4nl,ckkobwom,1,21,UK,ECO
2c3ue4nl,mbc73hwl,1,24,Jamaica,CMP
2c3ue4nl,e2fn9vw9,,,,
2c3ue4nl,73a8vrr5,,,,
2c3ue4nl,yyfy9chj,,,,
2c3ue4nl,ywdiqzcy,,,,
2c3ue4nl,ffqy66i4,,,,
2c3ue4nl,j76jmnrp,,,,
2c3ue4nl,g5jdv4mx,,,,
2c3ue4nl,ivx39y80,,,,
cvmst39e,p6guj6oc,1,22,UK,PHA
cvmst39e,c463oa0l,2,21,Kenya,PSY
cvmst39e,yvv61syj,1,25,Vietnam,NBS
cvmst39e,xjl7tb8y,2,19,England,ENV
cvmst39e,rzx15z0z,2,19,United Kingdom,SWK
cvmst39e,ir5vd8tq,,,,
cvmst39e,xxwhfppi,,,,
cvmst39e,b519wjqw,,,,
cvmst39e,m8fnlhrg,,,,
cvmst39e,5pl1yc5o,,,,
cvmst39e,q5otd0bf,,,,
cvmst39e,wt0kbct8,,,,
q9eskw4s,xnn4ylqp,1,24,vietnam,pharmacy
q9eskw4s,thvb1r44,2,20,England,ECO
q9eskw4s,lwxingsi,2,21,British,AMA
q9eskw4s,40to1dnc,,,,
q9eskw4s,tbee3wtq,,,,
q9eskw4s,w76xuqvl,,,,
q9eskw4s,xmtreq44,,,,
q9eskw4s,sndaasm4,,,,
q9eskw4s,yl5dg2vu,,,,
q9eskw4s,giz90rrt,,,,
q9eskw4s,5hswcrm3,,,,
q9eskw4s,zeq8j6md,,,,
6ly2rp8w,fbkvcwj3,1,21,UK,ENV
6ly2rp8w,0ozxf8xh,1,20,UK,NBS
6ly2rp8w,n06qcp0h,,,,
6ly2rp8w,7hjw49ed,,,,
6ly2rp8w,8kgcy3zv,,,,
6ly2rp8w,zhmyj1yu,,,,
6ly2rp8w,z6to9r61,,,,
6ly2rp8w,ysie0mmn,,,,
6ly2rp8w,j8jtkb47,,,,
6ly2rp8w,m5jf0oo3,,,,
6ly2rp8w,9gd5kykr,,,,
6ly2rp8w,0pd06cy3,,,,
6ehurar1,b359c3sg,,,,
1qzq4xiq,djg59bu2,1,21,Brazil,
1qzq4xiq,d84vlama,1,19,United Kingdom,ECO
1qzq4xiq,70uhesln,1,19,UK,HSC
1qzq4xiq,34gfep4y,1,20,UK,
1qzq4xiq,ir9i1zyd,1,20,British,
1qzq4xiq,nq3h20qw,2,20,China,PPL
1qzq4xiq,bxvbfy2c,2,19,Hong Kong,LAW
1qzq4xiq,cw8zvr2h,1,20,UK,LAW
1qzq4xiq,9xmkmjqn,2,20,Portugal,Eco
1qzq4xiq,is4r91nu,,,,
1qzq4xiq,lw7kgktf,2,27,India,DEV
1qzq4xiq,v99l3g5i,,,,
oibs1oda,nxnxskin,2,23,Mexico,PPL
oibs1oda,7pz0apon,2,22,cyprus,ENV
oibs1oda,u9cxpv1u,1,27,United Kingdom,ENG
oibs1oda,6xqxdjpw,1,23,uk,DEV
oibs1oda,7c94vcx4,1,21,Italy,CMP
oibs1oda,jdkamnqz,2,23,United Kingdom,LDC
oibs1oda,5brc09bu,1,18,United Kingdom,NBS
oibs1oda,kxpab5sc,3,22,England / UK,PPL
oibs1oda,ll506yx4,2,18,England,EDU
oibs1oda,ad0pmiq7,,,,
oibs1oda,4pdhcoxd,,,,
oibs1oda,natowf49,,,,
dz3iqovg,gk9p37a4,2,19,United Kingdom,LDC
dz3iqovg,gjh1vvi8,1,19,Sri Lanka,MED
dz3iqovg,ve26kidg,2,19,Jordan,Law
dz3iqovg,cdmhvur3,1,30,China,EDU
dz3iqovg,k4kry1g9,2,20,UK,ECO
dz3iqovg,7y1cg1m5,1,21,Bangladesh,BIO
dz3iqovg,zdv0ikxt,1,21,India,Economics
dz3iqovg,461a2pcv,2,27,England,
dz3iqovg,znmoz035,2,23,Hong Kong,MED
dz3iqovg,ylkga1n5,2,19,United kingdom,Med
dz3iqovg,yv1cj331,2,18,United Kingdom,HSC
dz3iqovg,89i99jlp,2,20,England,Hsc
ios2zg8e,k5qjtrxf,1,18,India,NBS
ios2zg8e,kki23sm3,2,20,england,PSY
ios2zg8e,ivlmusw9,1,20,england,nbs
ios2zg8e,bqqi8g8i,1,19,South Africa,ECO
ios2zg8e,uqucl6cz,2,18,Portugal,NBS
ios2zg8e,dq31a15z,2,18,Sri Lanka,MED
ios2zg8e,xvaeh4uu,2,18,Hong Kong,HSC
ios2zg8e,2z3t80j3,2,18,England,EDU
ios2zg8e,2f3nbwhw,1,18,uk,HIS
ios2zg8e,uve3xn10,2,20,Malaysia,NBS
ios2zg8e,akkimxbz,1,18,Hungary,Biological Science
ios2zg8e,xleira1s,2,20,United Kingdom,NBS
2hzg49ab,4wbyac31,,,,
s2kt3r85,30tl9x09,,,,
jtck4969,vluwbm9u,,,,
3jvjsfat,acx2p00e,,,,
30jkw6n1,4erd8och,,,,
5v5mbuqk,n02fly75,,,,
c55zgag9,mzezqqkv,,,,
qgtv28uu,l5zai42i,,,,
sx6fgj9f,lualaqid,2,20,England,MED
sx6fgj9f,icuf6r3i,1,19,england,ECO
sx6fgj9f,6q4v8zwn,2,22,United Kingdom (England),PPL
sx6fgj9f,91o7t87s,1,20,UK,ENV
sx6fgj9f,tw6ofzo6,2,20,Spain,BIO
sx6fgj9f,rz20kdvj,2,19,England,LAW
sx6fgj9f,gz2c6vox,2,23,United Kingdom,MED
sx6fgj9f,86v1yyo4,,,,
sx6fgj9f,l7ug7tze,,,,
sx6fgj9f,s2ooxzx9,,,,
sx6fgj9f,26jj6z5e,,,,
sx6fgj9f,w1t9pfzc,,,,
baxe0zuf,fkt0idrw,2,18,UK,BSc Psychology
baxe0zuf,4nfjsw26,2,21,cyprus,MED
baxe0zuf,8146ibpz,2,21,UK,LDC
baxe0zuf,oa9qe2uy,2,19,USA,PPL
baxe0zuf,al37f6iv,2,19,United Kingdom,
baxe0zuf,x27fok07,1,19,United Kingdom,NBS
baxe0zuf,sh2jndtq,2,18,England,MED
baxe0zuf,mx2jjjo0,2,24,Hong Kong,MED
baxe0zuf,r58np4zf,2,18,united kingdom,BIO
baxe0zuf,suj4f23a,2,20,England,NATSci
ckjh5tb4,igi0kjnb,2,19,England,BIO
ckjh5tb4,1cnerogk,4,20,spain,psy
ckjh5tb4,5qhyejyx,2,18,Nigeria,Eco
ckjh5tb4,8fkffj19,2,18,England,UEA
ckjh5tb4,8mcbmy3x,1,19,England,MTH
ckjh5tb4,cv7fojrc,1,23,United Kingdom,CMP
ckjh5tb4,ce3ju9sq,1,21,United Kingdom,ENV
ckjh5tb4,vacatglc,1,21,Latvia,LDC
es8prm7x,41xn2qh9,3,18,United Kingdom,CMP - Computing Science
es8prm7x,oh2n10bg,1,19,United Kingdom,PPL
es8prm7x,q11ysnzk,2,19,UK,NBS
es8prm7x,a6oaeycq,2,19,United Kingdom,LDC
es8prm7x,vt0oite2,1,18,England,ECO
es8prm7x,ohbqkpz4,2,21,Denmark,NMS (Med)
es8prm7x,wpfto96w,2,18,United Kingdom,PSY
es8prm7x,rjm9etlc,2,18,England,ECO
rdbejwb9,4z0umzd2,2,21,Spain,Economics
rdbejwb9,towss002,1,22,United Kingdom,CMP
rdbejwb9,w7wkpai0,2,22,United Kingdom,PPL
rdbejwb9,xi8u6zr6,2,20,England,MED
rdbejwb9,sjnia5kz,2,21,England,DEV
rdbejwb9,e1u5e0p2,1,20,United Kingdom,ECO
rdbejwb9,3teu8bii,2,20,England,PSY
rdbejwb9,uvptgp2n,2,18,United Kingdom,CMP
rdbejwb9,oukkjmup,2,24,Norway,NAT
