session,participant,period,menu,displayed_first,choice
20210628_1000,qfx1xiey,24,15,q,q
20210628_1000,l83ddudz,24,15,q,q
20210628_1000,amoaaj9x,24,4,q,q
20210628_1000,owzo4wwo,24,3,p,p
20210628_1000,mh9jvilu,25,10,q,q
20210628_1000,kp0napa4,25,25,q,p
20210628_1000,a3an30lg,25,10,q,p
20210628_1000,zw36ul8j,25,10,p,q
20210628_1000,qfx1xiey,25,8,p,q
20210628_1000,l83ddudz,25,8,p,q
20210628_1000,amoaaj9x,25,25,p,q
20210628_1000,owzo4wwo,25,13,q,p
20210628_1200,wh3zb82m,1,25,q,p
20210628_1200,8w3btk72,1,2,q,q
20210628_1200,oumpjj89,1,17,q,p
20210628_1200,x73zfae3,1,16,q,p
20210628_1200,55tkeh2g,1,14,q,p
20210628_1200,owuewxi2,1,16,p,p
20210628_1200,sbmkh1vf,1,12,p,q
20210628_1200,lm9eu726,1,2,q,p
20210628_1200,yfmyonpn,1,17,p,p
20210628_1200,bwjrzusv,1,6,q,q
20210628_1200,wh3zb82m,2,14,p,p
20210628_1200,8w3btk72,2,7,p,q
20210628_1200,oumpjj89,2,20,p,p
20210628_1200,x73zfae3,2,18,p,q
20210628_1200,55tkeh2g,2,4,p,q
20210628_1200,owuewxi2,2,13,p,p
20210628_1200,sbmkh1vf,2,2,q,q
20210628_1200,lm9eu726,2,20,q,p
20210628_1200,yfmyonpn,2,15,p,q
20210628_1200,bwjrzusv,2,1,p,p
20210628_1200,wh3zb82m,3,22,q,p
20210628_1200,8w3btk72,3,3,p,q
20210628_1200,oumpjj89,3,14,q,p
20210628_1200,x73zfae3,3,12,q,q
20210628_1200,55tkeh2g,3,20,p,p
20210628_1200,owuewxi2,3,18,p,p
20210628_1200,sbmkh1vf,3,8,p,p
20210628_1200,lm9eu726,3,6,p,p
20210628_1200,yfmyonpn,3,11,p,q
20210628_1200,bwjrzusv,3,16,p,p
20210628_1200,wh3zb82m,4,4,p,q
20210628_1200,8w3btk72,4,18,q,q
20210628_1200,oumpjj89,4,8,p,q
20210628_1200,x73zfae3,4,8,p,p
20210628_1200,55tkeh2g,4,18,p,p
20210628_1200,owuewxi2,4,14,q,p
20210628_1200,sbmkh1vf,4,15,q,p
20210628_1200,lm9eu726,4,10,q,p
20210628_1200,yfmyonpn,4,3,p,q
20210628_1200,bwjrzusv,4,3,p,q
20210628_1200,wh3zb82m,5,13,q,p
20210628_1200,8w3btk72,5,13,q,q
20210628_1200,oumpjj89,5,5,p,q
20210628_1200,x73zfae3,5,15,q,p
20210628_1200,55tkeh2g,5,17,p,p
20210628_1200,owuewxi2,5,19,q,p
20210628_1200,sbmkh1vf,5,1,q,q
20210628_1200,lm9eu726,5,23,p,p
20210628_1200,yfmyonpn,5,4,q,p
20210628_1200,bwjrzusv,5,17,q,q
20210628_1200,wh3zb82m,6,12,q,p
20210628_1200,8w3btk72,6,6,p,q
20210628_1200,oumpjj89,6,21,q,q
20210628_1200,x73zfae3,6,21,q,q
20210628_1200,55tkeh2g,6,7,p,p
20210628_1200,owuewxi2,6,10,q,p
20210628_1200,sbmkh1vf,6,7,q,q
20210628_1200,lm9eu726,6,8,p,p
20210628_1200,yfmyonpn,6,2,q,q
20210628_1200,bwjrzusv,6,23,q,q
20210628_1200,wh3zb82m,7,3,p,p
20210628_1200,8w3btk72,7,14,p,q
20210628_1200,oumpjj89,7,9,p,q
20210628_1200,x73zfae3,7,24,p,q
20210628_1200,55tkeh2g,7,23,q,p
20210628_1200,owuewxi2,7,12,q,q
20210628_1200,sbmkh1vf,7,19,q,p
20210628_1200,lm9eu726,7,17,p,p
20210628_1200,yfmyonpn,7,5,q,q
20210628_1200,bwjrzusv,7,25,q,p
20210628_1200,wh3zb82m,8,15,p,p
20210628_1200,8w3btk72,8,12,q,q
20210628_1200,oumpjj89,8,16,p,q
20210628_1200,x73zfae3,8,20,q,p
20210628_1200,55tkeh2g,8,11,p,q
20210628_1200,owuewxi2,8,23,q,p
20210628_1200,sbmkh1vf,8,11,p,q
20210628_1200,lm9eu726,8,25,q,p
20210628_1200,yfmyonpn,8,21,q,q
20210628_1200,bwjrzusv,8,21,q,q
20210628_1200,wh3zb82m,9,6,q,p
20210628_1200,8w3btk72,9,21,p,q
20210628_1200,oumpjj89,9,24,p,q
20210628_1200,x73zfae3,9,13,p,q
20210628_1200,55tkeh2g,9,2,q,p
20210628_1200,owuewxi2,9,6,q,q
20210628_1200,sbmkh1vf,9,21,p,q
20210628_1200,lm9eu726,9,7,q,p
20210628_1200,yfmyonpn,9,12,q,q
20210628_1200,bwjrzusv,9,8,q,p
20210628_1200,wh3zb82m,10,24,p,p
20210628_1200,8w3btk72,10,24,q,p
20210628_1200,oumpjj89,10,3,p,q
20210628_1200,x73zfae3,10,1,q,p
20210628_1200,55tkeh2g,10,5,q,p
20210628_1200,owuewxi2,10,25,p,p
20210628_1200,sbmkh1vf,10,20,q,p
20210628_1200,lm9eu726,10,18,p,p
20210628_1200,yfmyonpn,10,1,q,q
20210628_1200,bwjrzusv,10,7,p,q
20210628_1200,wh3zb82m,11,19,q,p
20210628_1200,8w3btk72,11,10,p,q
20210628_1200,oumpjj89,11,12,p,q
20210628_1200,x73zfae3,11,23,p,q
20210628_1200,55tkeh2g,11,25,q,p
20210628_1200,owuewxi2,11,2,q,q
20210628_1200,sbmkh1vf,11,22,p,q
20210628_1200,lm9eu726,11,24,q,p
20210628_1200,yfmyonpn,11,9,q,q
20210628_1200,bwjrzusv,11,5,q,q
20210628_1200,wh3zb82m,12,23,p,p
20210628_1200,8w3btk72,12,1,q,p
20210628_1200,oumpjj89,12,7,p,q
20210628_1200,x73zfae3,12,6,p,p
20210628_1200,55tkeh2g,12,10,p,q
20210628_1200,owuewxi2,12,20,q,p
20210628_1200,sbmkh1vf,12,9,p,p
20210628_1200,lm9eu726,12,22,p,q
20210628_1200,yfmyonpn,12,13,p,q
20210628_1200,bwjrzusv,12,2,p,q
20210628_1200,wh3zb82m,13,11,q,p
20210628_1200,8w3btk72,13,19,p,p
20210628_1200,oumpjj89,13,19,p,p
20210628_1200,x73zfae3,13,2,p,q
20210628_1200,55tkeh2g,13,6,p,q
20210628_1200,owuewxi2,13,17,q,q
20210628_1200,sbmkh1vf,13,13,p,q
20210628_1200,lm9eu726,13,5,p,p
20210628_1200,yfmyonpn,13,6,p,q
20210628_1200,bwjrzusv,13,24,p,q
20210628_1200,wh3zb82m,14,16,p,p
20210628_1200,8w3btk72,14,22,q,q
20210628_1200,oumpjj89,14,1,q,q
20210628_1200,x73zfae3,14,22,q,q
20210628_1200,55tkeh2g,14,21,q,q
20210628_1200,owuewxi2,14,24,p,p
20210628_1200,sbmkh1vf,14,5,p,q
20210628_1200,lm9eu726,14,12,q,p
20210628_1200,yfmyonpn,14,19,p,p
20210628_1200,bwjrzusv,14,4,q,q
20210628_1200,wh3zb82m,15,17,q,p
20210628_1200,8w3btk72,15,8,p,q
20210628_1200,oumpjj89,15,4,p,q
20210628_1200,x73zfae3,15,9,q,q
20210628_1200,55tkeh2g,15,9,p,p
20210628_1200,owuewxi2,15,4,q,q
20210628_1200,sbmkh1vf,15,18,p,p
20210628_1200,lm9eu726,15,14,q,p
20210628_1200,yfmyonpn,15,18,q,q
20210628_1200,bwjrzusv,15,12,p,p
20210628_1200,wh3zb82m,16,8,q,p
20210628_1200,8w3btk72,16,15,p,q
20210628_1200,oumpjj89,16,11,p,q
20210628_1200,x73zfae3,16,19,q,p
20210628_1200,55tkeh2g,16,24,q,p
20210628_1200,owuewxi2,16,1,p,p
20210628_1200,sbmkh1vf,16,3,p,q
20210628_1200,lm9eu726,16,1,p,p
20210628_1200,yfmyonpn,16,8,q,q
20210628_1200,bwjrzusv,16,10,q,q
20210628_1200,wh3zb82m,17,20,q,p
20210628_1200,8w3btk72,17,4,q,p
20210628_1200,oumpjj89,17,15,p,q
20210628_1200,x73zfae3,17,11,q,q
20210628_1200,55tkeh2g,17,1,q,q
20210628_1200,owuewxi2,17,22,p,q
20210628_1200,sbmkh1vf,17,24,q,p
20210628_1200,lm9eu726,17,11,p,q
20210628_1200,yfmyonpn,17,22,q,q
20210628_1200,bwjrzusv,17,14,q,q
20210628_1200,wh3zb82m,18,21,q,p
20210628_1200,8w3btk72,18,23,q,q
20210628_1200,oumpjj89,18,23,p,q
20210628_1200,x73zfae3,18,17,p,p
20210628_1200,55tkeh2g,18,3,q,q
20210628_1200,owuewxi2,18,5,p,q
20210628_1200,sbmkh1vf,18,16,q,p
20210628_1200,lm9eu726,18,19,q,p
20210628_1200,yfmyonpn,18,16,q,p
20210628_1200,bwjrzusv,18,18,p,q
20210628_1200,wh3zb82m,19,2,p,p
20210628_1200,8w3btk72,19,17,p,q
20210628_1200,oumpjj89,19,13,p,q
20210628_1200,x73zfae3,19,3,p,q
20210628_1200,55tkeh2g,19,13,q,p
20210628_1200,owuewxi2,19,7,q,q
20210628_1200,sbmkh1vf,19,23,p,p
20210628_1200,lm9eu726,19,15,p,p
20210628_1200,yfmyonpn,19,20,p,p
20210628_1200,bwjrzusv,19,9,p,p
20210628_1200,wh3zb82m,20,9,q,p
20210628_1200,8w3btk72,20,5,p,q
20210628_1200,oumpjj89,20,25,p,q
20210628_1200,x73zfae3,20,7,p,p
20210628_1200,55tkeh2g,20,22,q,q
20210628_1200,owuewxi2,20,9,p,p
20210628_1200,sbmkh1vf,20,17,q,p
20210628_1200,lm9eu726,20,16,p,p
20210628_1200,yfmyonpn,20,7,p,q
20210628_1200,bwjrzusv,20,15,q,q
20210628_1200,wh3zb82m,21,7,p,p
20210628_1200,8w3btk72,21,16,q,p
20210628_1200,oumpjj89,21,6,q,q
20210628_1200,x73zfae3,21,5,p,p
20210628_1200,55tkeh2g,21,12,q,p
20210628_1200,owuewxi2,21,3,p,q
20210628_1200,sbmkh1vf,21,10,p,q
20210628_1200,lm9eu726,21,21,q,q
20210628_1200,yfmyonpn,21,10,q,q
20210628_1200,bwjrzusv,21,13,q,q
20210628_1200,wh3zb82m,22,1,p,p
20210628_1200,8w3btk72,22,9,p,p
20210628_1200,oumpjj89,22,2,q,q
20210628_1200,x73zfae3,22,25,q,q
20210628_1200,55tkeh2g,22,16,q,p
20210628_1200,owuewxi2,22,11,p,q
20210628_1200,sbmkh1vf,22,6,q,q
20210628_1200,lm9eu726,22,9,q,p
20210628_1200,yfmyonpn,22,14,p,q
20210628_1200,bwjrzusv,22,22,q,q
20210628_1200,wh3zb82m,23,18,p,p
20210628_1200,8w3btk72,23,11,p,q
20210628_1200,oumpjj89,23,18,q,q
20210628_1200,x73zfae3,23,14,q,q
20210628_1200,55tkeh2g,23,19,p,p
20210628_1200,owuewxi2,23,21,q,q
20210628_1200,sbmkh1vf,23,14,p,q
20210628_1200,lm9eu726,23,4,q,p
20210628_1200,yfmyonpn,23,23,p,q
20210628_1200,bwjrzusv,23,20,q,p
20210628_1200,wh3zb82m,24,5,p,p
20210628_1200,8w3btk72,24,20,q,p
20210628_1200,oumpjj89,24,22,q,q
20210628_1200,x73zfae3,24,4,q,p
20210628_1200,55tkeh2g,24,15,q,p
20210628_1200,owuewxi2,24,15,q,q
20210628_1200,sbmkh1vf,24,4,q,p
20210628_1200,lm9eu726,24,3,p,p
20210628_1200,yfmyonpn,24,24,q,q
20210628_1200,bwjrzusv,24,19,p,p
20210628_1200,wh3zb82m,25,10,q,p
20210628_1200,8w3btk72,25,25,q,q
20210628_1200,oumpjj89,25,10,q,q
20210628_1200,x73zfae3,25,10,p,p
20210628_1200,55tkeh2g,25,8,p,p
20210628_1200,owuewxi2,25,8,p,q
20210628_1200,sbmkh1vf,25,25,p,p
20210628_1200,lm9eu726,25,13,q,p
20210628_1200,yfmyonpn,25,25,q,p
20210628_1200,bwjrzusv,25,11,p,q
20210628_1400,cpgmvfnm,1,25,q,q
20210628_1400,o9o05hu1,1,2,q,p
20210628_1400,h8m28kat,1,17,q,p
20210628_1400,5sc4ncpy,1,16,q,p
20210628_1400,xio1kk58,1,14,q,p
20210628_1400,twsriyk7,1,16,p,p
20210628_1400,nnri11b7,1,12,p,q
20210628_1400,yjzfuu2h,1,2,q,q
20210628_1400,3n62rgd0,1,17,p,p
20210628_1400,9f99a2hb,1,6,q,q
20210628_1400,cpgmvfnm,2,14,p,q
20210628_1400,o9o05hu1,2,7,p,q
20210628_1400,h8m28kat,2,20,p,p
20210628_1400,5sc4ncpy,2,18,p,q
20210628_1400,xio1kk58,2,4,p,p
20210628_1400,twsriyk7,2,13,p,q
20210628_1400,nnri11b7,2,2,q,p
20210628_1400,yjzfuu2h,2,20,q,p
20210628_1400,3n62rgd0,2,15,p,p
20210628_1400,9f99a2hb,2,1,p,p
20210628_1400,cpgmvfnm,3,22,q,q
20210628_1400,o9o05hu1,3,3,p,q
20210628_1400,h8m28kat,3,14,q,p
20210628_1400,5sc4ncpy,3,12,q,q
20210628_1400,xio1kk58,3,20,p,p
20210628_1400,twsriyk7,3,18,p,q
20210628_1400,nnri11b7,3,8,p,q
20210628_1400,yjzfuu2h,3,6,p,q
20210628_1400,3n62rgd0,3,11,p,p
20210628_1400,9f99a2hb,3,16,p,q
20210628_1400,cpgmvfnm,4,4,p,q
20210628_1400,o9o05hu1,4,18,q,q
20210628_1400,h8m28kat,4,8,p,p
20210628_1400,5sc4ncpy,4,8,p,q
20210628_1400,xio1kk58,4,18,p,p
20210628_1400,twsriyk7,4,14,q,p
20210628_1400,nnri11b7,4,15,q,p
20210628_1400,yjzfuu2h,4,10,q,p
20210628_1400,3n62rgd0,4,3,p,q
20210628_1400,9f99a2hb,4,3,p,q
20210628_1400,cpgmvfnm,5,13,q,q
20210628_1400,o9o05hu1,5,13,q,q
20210628_1400,h8m28kat,5,5,p,p
20210628_1400,5sc4ncpy,5,15,q,q
20210628_1400,xio1kk58,5,17,p,q
20210628_1400,twsriyk7,5,19,q,p
20210628_1400,nnri11b7,5,1,q,p
20210628_1400,yjzfuu2h,5,23,p,q
20210628_1400,3n62rgd0,5,4,q,q
20210628_1400,9f99a2hb,5,17,q,p
20210628_1400,cpgmvfnm,6,12,q,q
20210628_1400,o9o05hu1,6,6,p,q
20210628_1400,h8m28kat,6,21,q,q
20210628_1400,5sc4ncpy,6,21,q,q
20210628_1400,xio1kk58,6,7,p,q
20210628_1400,twsriyk7,6,10,q,p
20210628_1400,nnri11b7,6,7,q,q
20210628_1400,yjzfuu2h,6,8,p,q
20210628_1400,3n62rgd0,6,2,q,q
20210628_1400,9f99a2hb,6,23,q,p
20210628_1400,cpgmvfnm,7,3,p,q
20210628_1400,o9o05hu1,7,14,p,q
20210628_1400,h8m28kat,7,9,p,p
20210628_1400,5sc4ncpy,7,24,p,q
20210628_1400,xio1kk58,7,23,q,p
20210628_1400,twsriyk7,7,12,q,q
20210628_1400,nnri11b7,7,19,q,p
20210628_1400,yjzfuu2h,7,17,p,p
