participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.gender,player.age,player.countryborn,player.countrynow,player.department,player.degree,player.timeuea,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,q11ysnzk,,0,61,61,endpage,EarningsPage,2021-10-13 14:05:23.026054+00:00,1,,,27.00,3,2,19,UK,UK,NBS,2,2,0.00,1,1,es8prm7x,20211013_1500,,,,0
4,a6oaeycq,,0,61,61,endpage,EarningsPage,2021-10-13 14:05:33.013968+00:00,1,,,25.00,4,2,19,United Kingdom,United Kingdom,LDC,2,2,0.00,1,1,es8prm7x,20211013_1500,,,,0
5,vt0oite2,,0,61,61,endpage,EarningsPage,2021-10-13 14:07:57.893421+00:00,1,,,27.00,5,1,18,England,England,ECO,2,1,0.00,1,1,es8prm7x,20211013_1500,,,,0
6,ohbqkpz4,,0,61,61,endpage,EarningsPage,2021-10-13 14:05:54.156656+00:00,1,,,27.00,6,2,21,Denmark,England,NMS (Med),2,3,0.00,1,1,es8prm7x,20211013_1500,,,,0
7,wpfto96w,,0,61,61,endpage,EarningsPage,2021-10-13 14:05:57.323891+00:00,1,,,27.00,7,2,18,United Kingdom,United Kingdom,PSY,2,1,0.00,1,1,es8prm7x,20211013_1500,,,,0
8,rjm9etlc,,0,61,61,endpage,EarningsPage,2021-10-13 14:06:07.103950+00:00,1,,,27.00,8,2,18,England,England,ECO,2,1,0.00,1,1,es8prm7x,20211013_1500,,,,0
1,4z0umzd2,,0,61,61,endpage,EarningsPage,2021-10-18 11:10:07.570444+00:00,1,,,16.00,1,2,21,Spain,UK as a visiting student,Economics,2,1,0.00,1,1,rdbejwb9,20211018_1200,,,,0
2,towss002,,0,61,61,endpage,EarningsPage,2021-10-18 11:10:19.102821+00:00,1,,,27.00,2,1,22,United Kingdom,England,CMP,2,4,0.00,1,1,rdbejwb9,20211018_1200,,,,0
3,w7wkpai0,,0,61,61,endpage,EarningsPage,2021-10-18 11:10:28.000316+00:00,1,,,17.00,3,2,22,United Kingdom,United Kingdom,PPL,2,4,0.00,1,1,rdbejwb9,20211018_1200,,,,0
4,xi8u6zr6,,0,61,61,endpage,EarningsPage,2021-10-18 11:10:41.597471+00:00,1,,,7.00,4,2,20,England,England,MED,2,3,0.00,1,1,rdbejwb9,20211018_1200,,,,0
5,sjnia5kz,,0,61,61,endpage,EarningsPage,2021-10-18 11:11:07.478584+00:00,1,,,17.00,5,2,21,England,UK,DEV,2,2,0.00,1,1,rdbejwb9,20211018_1200,,,,0
6,e1u5e0p2,,0,61,61,endpage,EarningsPage,2021-10-18 11:11:06.498121+00:00,1,,,7.00,6,1,20,United Kingdom,United Kingdom,ECO,2,3,0.00,1,1,rdbejwb9,20211018_1200,,,,0
7,3teu8bii,,0,61,61,endpage,EarningsPage,2021-10-18 11:11:53.791273+00:00,1,,,17.00,7,2,20,England,England,PSY,2,2,0.00,1,1,rdbejwb9,20211018_1200,,,,0
8,uvptgp2n,,0,61,61,endpage,EarningsPage,2021-10-18 11:11:33.661737+00:00,1,,,26.00,8,2,18,United Kingdom,United Kingdom,CMP,2,1,0.00,1,1,rdbejwb9,20211018_1200,,,,0
9,oukkjmup,,0,61,61,endpage,EarningsPage,2021-10-18 11:11:59.609144+00:00,1,,,7.00,9,2,24,Norway,United Kingdom,NAT,2,2,0.00,1,1,rdbejwb9,20211018_1200,,,,0
